Date,TSLA
1/12/2015,15.81266689
2/12/2015,15.4659996
3/12/2015,15.51399994
4/12/2015,15.35866737
7/12/2015,15.40866661
8/12/2015,15.11466694
9/12/2015,14.96800041
10/12/2015,15.13799953
11/12/2015,14.46800041
14/12/2015,14.57199955
15/12/2015,14.73933315
16/12/2015,15.63399982
17/12/2015,15.55933285
18/12/2015,15.36400032
21/12/2015,15.50399971
22/12/2015,15.32999992
23/12/2015,15.31333256
24/12/2015,15.37133312
28/12/2015,15.26333332
29/12/2015,15.81266689
30/12/2015,15.87266731
31/12/2015,16.00066757
4/1/2016,14.89400005
5/1/2016,14.89533329
6/1/2016,14.60266685
7/1/2016,14.37666702
8/1/2016,14.0666666
11/1/2016,13.85666656
12/1/2016,13.99800014
13/1/2016,13.35400009
14/1/2016,13.74533272
15/1/2016,13.66600037
19/1/2016,13.64799976
20/1/2016,13.24666691
21/1/2016,13.33133316
22/1/2016,13.50333309
25/1/2016,13.09200001
26/1/2016,12.90400028
27/1/2016,12.53800011
28/1/2016,12.64666653
29/1/2016,12.74666691
1/2/2016,13.12933254
2/2/2016,12.18533325
3/2/2016,11.56533337
4/2/2016,11.6886673
5/2/2016,10.84000015
8/2/2016,9.866000175
9/2/2016,9.883333206
10/2/2016,9.578000069
11/2/2016,10.03133297
12/2/2016,10.06933308
16/2/2016,10.34466743
17/2/2016,11.24533272
18/2/2016,11.11800003
19/2/2016,11.10533333
22/2/2016,11.84933281
23/2/2016,11.81400013
24/2/2016,11.9333334
25/2/2016,12.49533272
26/2/2016,12.68933296
29/2/2016,12.79533291
1/3/2016,12.42333317
2/3/2016,12.55599976
3/3/2016,13.04933262
4/3/2016,13.40266705
7/3/2016,13.68599987
8/3/2016,13.50666714
9/3/2016,13.91466713
10/3/2016,13.67866707
11/3/2016,13.83333302
14/3/2016,14.34333324
15/3/2016,14.55599976
16/3/2016,14.79533291
17/3/2016,15.09200001
18/3/2016,15.51599979
21/3/2016,15.88799953
22/3/2016,15.61600018
23/3/2016,14.83866692
24/3/2016,15.1833334
28/3/2016,15.350667
29/3/2016,15.34200001
30/3/2016,15.1260004
31/3/2016,15.31799984
1/4/2016,15.83933258
4/4/2016,16.4659996
5/4/2016,17.03133392
6/4/2016,17.69466782
7/4/2016,17.14666748
8/4/2016,16.67133331
11/4/2016,16.66133308
12/4/2016,16.52133369
13/4/2016,16.96866608
14/4/2016,16.79066658
15/4/2016,16.96733284
18/4/2016,16.92533302
19/4/2016,16.49133301
20/4/2016,16.66466713
21/4/2016,16.55266762
22/4/2016,16.91666794
25/4/2016,16.78800011
26/4/2016,16.91600037
27/4/2016,16.76466751
28/4/2016,16.51399994
29/4/2016,16.05066681
2/5/2016,16.12000084
3/5/2016,15.48799992
4/5/2016,14.83733273
5/5/2016,14.10200024
6/5/2016,14.32866669
9/5/2016,13.92800045
10/5/2016,13.91266727
11/5/2016,13.93066692
12/5/2016,13.81866741
13/5/2016,13.84066677
16/5/2016,13.88599968
17/5/2016,13.64400005
18/5/2016,14.07800007
19/5/2016,14.34733295
20/5/2016,14.68533325
23/5/2016,14.41466713
24/5/2016,14.52733326
25/5/2016,14.63866711
26/5/2016,15.00800037
27/5/2016,14.86933327
31/5/2016,14.88199997
1/6/2016,14.63733292
2/6/2016,14.59733295
3/6/2016,14.59933281
6/6/2016,14.71199989
7/6/2016,15.48933315
8/6/2016,15.70133305
9/6/2016,15.29066658
10/6/2016,14.58600044
13/6/2016,14.52466679
14/6/2016,14.33066654
15/6/2016,14.51333332
16/6/2016,14.52866745
17/6/2016,14.36466694
20/6/2016,14.64666653
21/6/2016,14.64066696
22/6/2016,13.11066723
23/6/2016,13.09333324
24/6/2016,12.87666702
27/6/2016,13.23666668
28/6/2016,13.45266724
29/6/2016,14.0126667
30/6/2016,14.15200043
1/7/2016,14.4333334
5/7/2016,14.26533318
6/7/2016,14.29599953
7/7/2016,14.39599991
8/7/2016,14.45199966
11/7/2016,14.98533344
12/7/2016,14.9766674
13/7/2016,14.83533287
14/7/2016,14.76866722
15/7/2016,14.69333267
18/7/2016,15.08333302
19/7/2016,15.01733303
20/7/2016,15.22399998
21/7/2016,14.69999981
22/7/2016,14.81799984
25/7/2016,15.33399963
26/7/2016,15.30066681
27/7/2016,15.23266697
28/7/2016,15.3739996
29/7/2016,15.65266705
1/8/2016,15.33399963
2/8/2016,15.14666653
3/8/2016,15.05266666
4/8/2016,15.3739996
5/8/2016,15.33533287
8/8/2016,15.07733345
9/8/2016,15.27200031
10/8/2016,15.04333305
11/8/2016,14.99400043
12/8/2016,15.04066658
15/8/2016,15.03933334
16/8/2016,14.90733337
17/8/2016,14.88266659
18/8/2016,14.90066719
19/8/2016,15
22/8/2016,14.86200047
23/8/2016,14.98933315
24/8/2016,14.84133339
25/8/2016,14.73066711
26/8/2016,14.66600037
29/8/2016,14.34666729
30/8/2016,14.08933258
31/8/2016,14.13399982
1/9/2016,13.3846674
2/9/2016,13.18533325
6/9/2016,13.52200031
7/9/2016,13.44733334
8/9/2016,13.15733337
9/9/2016,12.96466732
12/9/2016,13.22000027
13/9/2016,13.06999969
14/9/2016,13.09399986
15/9/2016,13.36133289
16/9/2016,13.69333267
19/9/2016,13.75599957
20/9/2016,13.64266682
21/9/2016,13.68133259
22/9/2016,13.76200008
23/9/2016,13.82999992
26/9/2016,13.93266678
27/9/2016,13.72066689
28/9/2016,13.75133324
29/9/2016,13.38000011
30/9/2016,13.60200024
3/10/2016,14.24666691
4/10/2016,14.09399986
5/10/2016,13.89733315
6/10/2016,13.39999962
7/10/2016,13.10733318
10/10/2016,13.39666653
11/10/2016,13.34000015
12/10/2016,13.43400002
13/10/2016,13.34933281
14/10/2016,13.100667
17/10/2016,12.93066692
18/10/2016,13.2733326
19/10/2016,13.57066727
20/10/2016,13.2733326
21/10/2016,13.33933258
24/10/2016,13.51733303
25/10/2016,13.48933315
26/10/2016,13.48266697
27/10/2016,13.600667
28/10/2016,13.33133316
31/10/2016,13.18200016
1/11/2016,12.7193327
2/11/2016,12.53466702
3/11/2016,12.49466705
4/11/2016,12.70400047
7/11/2016,12.88066673
8/11/2016,12.99600029
9/11/2016,12.67066669
10/11/2016,12.35666656
11/11/2016,12.57066727
14/11/2016,12.09666729
15/11/2016,12.25133324
16/11/2016,12.26200008
17/11/2016,12.57733345
18/11/2016,12.33466721
21/11/2016,12.30133343
22/11/2016,12.74466705
23/11/2016,12.8760004
25/11/2016,13.10999966
28/11/2016,13.07466698
29/11/2016,12.63799953
30/11/2016,12.62666702
1/12/2016,12.12533283
2/12/2016,12.09799957
5/12/2016,12.4533329
6/12/2016,12.39000034
7/12/2016,12.87666702
8/12/2016,12.81933308
9/12/2016,12.81200027
12/12/2016,12.82866669
13/12/2016,13.21000004
14/12/2016,13.24600029
15/12/2016,13.17199993
16/12/2016,13.49933338
19/12/2016,13.51533318
20/12/2016,13.91933346
21/12/2016,13.84666729
22/12/2016,13.89666653
23/12/2016,14.22266674
27/12/2016,14.63533306
28/12/2016,14.649333
29/12/2016,14.31200027
30/12/2016,14.24600029
3/1/2017,14.4659996
4/1/2017,15.13266659
5/1/2017,15.11666679
6/1/2017,15.26733303
9/1/2017,15.41866684
10/1/2017,15.32466698
11/1/2017,15.31533337
12/1/2017,15.30599976
13/1/2017,15.85000038
17/1/2017,15.70533276
18/1/2017,15.89066696
19/1/2017,16.25066757
20/1/2017,16.31533241
23/1/2017,16.59466743
24/1/2017,16.97400093
25/1/2017,16.96466637
26/1/2017,16.83399963
27/1/2017,16.86333275
30/1/2017,16.70866776
31/1/2017,16.79533386
1/2/2017,16.61599922
2/2/2017,16.77000046
3/2/2017,16.75533295
6/2/2017,17.18466759
7/2/2017,17.16533279
8/2/2017,17.47200012
9/2/2017,17.94666672
10/2/2017,17.94866753
13/2/2017,18.70666695
14/2/2017,18.73200035
15/2/2017,18.65066719
16/2/2017,17.93000031
17/2/2017,18.14866638
21/2/2017,18.49266624
22/2/2017,18.23399925
23/2/2017,17.06599998
24/2/2017,17.13333321
27/2/2017,16.41533279
28/2/2017,16.66600037
1/3/2017,16.66799927
2/3/2017,16.69866753
3/3/2017,16.77133369
6/3/2017,16.74733353
7/3/2017,16.57266617
8/3/2017,16.45800018
9/3/2017,16.32666779
10/3/2017,16.24600029
13/3/2017,16.41133308
14/3/2017,17.20000076
15/3/2017,17.04866791
16/3/2017,17.46999931
17/3/2017,17.43333244
20/3/2017,17.46133232
21/3/2017,16.71199989
22/3/2017,17.00066757
23/3/2017,16.98533249
24/3/2017,17.54400063
27/3/2017,18.01466751
28/3/2017,18.49666786
29/3/2017,18.49200058
30/3/2017,18.52799988
31/3/2017,18.55333328
3/4/2017,19.90133286
4/4/2017,20.24666786
5/4/2017,19.66666794
6/4/2017,19.91333389
7/4/2017,20.1693325
10/4/2017,20.82600021
11/4/2017,20.5806675
12/4/2017,19.78933334
13/4/2017,20.26666641
17/4/2017,20.09600067
18/4/2017,20.01666641
19/4/2017,20.36800003
20/4/2017,20.1673336
21/4/2017,20.37333298
24/4/2017,20.53533363
25/4/2017,20.9193325
26/4/2017,20.6779995
27/4/2017,20.57533264
28/4/2017,20.93799973
1/5/2017,21.52199936
2/5/2017,21.25933266
3/5/2017,20.73466682
4/5/2017,19.69733238
5/5/2017,20.55666733
8/5/2017,20.47933388
9/5/2017,21.4173336
10/5/2017,21.68133354
11/5/2017,21.54000092
12/5/2017,21.65399933
15/5/2017,21.05866623
16/5/2017,21.13400078
17/5/2017,20.40733337
18/5/2017,20.8706665
19/5/2017,20.72200012
22/5/2017,20.69000053
23/5/2017,20.25733376
24/5/2017,20.68133354
25/5/2017,21.12199974
26/5/2017,21.6760006
30/5/2017,22.34000015
31/5/2017,22.73399925
1/6/2017,22.69133377
2/6/2017,22.65666771
5/6/2017,23.1546669
6/6/2017,23.5233326
7/6/2017,23.9766674
8/6/2017,24.66666794
9/6/2017,23.82133293
12/6/2017,23.93400002
13/6/2017,25.06333351
14/6/2017,25.37733269
15/6/2017,25.02266693
16/6/2017,24.76000023
19/6/2017,24.65333366
20/6/2017,24.81599998
21/6/2017,25.09333229
22/6/2017,25.50733376
23/6/2017,25.56333351
26/6/2017,25.16600037
27/6/2017,24.15800095
28/6/2017,24.74933243
29/6/2017,24.04999924
30/6/2017,24.10733223
3/7/2017,23.50799942
5/7/2017,21.80599976
6/7/2017,20.58866692
7/7/2017,20.8813324
10/7/2017,21.06999969
11/7/2017,21.81466675
12/7/2017,21.96800041
13/7/2017,21.56066704
14/7/2017,21.85199928
17/7/2017,21.30466652
18/7/2017,21.88266754
19/7/2017,21.68400002
20/7/2017,21.99466705
21/7/2017,21.89333344
24/7/2017,22.83466721
25/7/2017,22.63999939
26/7/2017,22.92333221
27/7/2017,22.29733276
28/7/2017,22.33799934
31/7/2017,21.56466675
1/8/2017,21.30466652
2/8/2017,21.72599983
3/8/2017,23.13933372
4/8/2017,23.79400063
7/8/2017,23.6779995
8/8/2017,24.34799957
9/8/2017,24.23533249
10/8/2017,23.69333267
11/8/2017,23.8579998
14/8/2017,24.25333214
15/8/2017,24.15533257
16/8/2017,24.19400024
17/8/2017,23.46133232
18/8/2017,23.16399956
21/8/2017,22.52400017
22/8/2017,22.75666618
23/8/2017,23.51799965
24/8/2017,23.52866745
25/8/2017,23.2033329
28/8/2017,23.04400063
29/8/2017,23.15733337
30/8/2017,23.54533386
31/8/2017,23.7266674
1/9/2017,23.69333267
5/9/2017,23.30599976
6/9/2017,22.96866608
7/9/2017,23.37400055
8/9/2017,22.89333344
11/9/2017,24.24600029
12/9/2017,24.18333244
13/9/2017,24.41533279
14/9/2017,25.1760006
15/9/2017,25.32066727
18/9/2017,25.66666794
19/9/2017,25.00666618
20/9/2017,24.92733383
21/9/2017,24.43199921
22/9/2017,23.40600014
25/9/2017,22.99933243
26/9/2017,23.01666641
27/9/2017,22.73133278
28/9/2017,22.63999939
29/9/2017,22.73999977
2/10/2017,22.76866722
3/10/2017,23.20933342
4/10/2017,23.6673336
5/10/2017,23.6886673
